ano,ndvi_i_invierno,ndvi_i_primavera,ndvi_i_verano,ndvi_i_otono,iv_malla_modi_id,nie_malla_modi_id,poblacion,grupo_poblacion
2004,1.83,3.43,3.02,2.41,155025,1642344,1,A
2005,1.72,3.42,3.48,2.55,155025,1642344,1,A
2006,3.22,3.00,3.36,2.96,155025,1642344,1,A
2007,2.23,3.67,3.53,2.95,155025,1642344,1,A
2008,0.99,3.00,2.93,2.15,155025,1642344,1,A
2009,1.46,3.48,3.56,2.86,155025,1642344,1,A
2010,1.23,3.26,3.44,2.80,155025,1642344,1,A
2011,1.86,3.46,3.19,2.58,155025,1642344,1,A
2012,1.56,3.04,3.51,2.94,155025,1642344,1,A
2000,1.66,3.39,2.92,2.98,154341,1639939,1,A
2001,3.04,3.33,2.78,1.77,154341,1639939,1,A
2002,1.32,3.27,3.45,2.80,154341,1639939,1,A
2003,2.38,3.44,3.54,2.68,154341,1639939,1,A
2004,2.01,3.36,2.97,2.59,154341,1639939,1,A
2005,1.79,2.98,3.31,2.66,154341,1639939,1,A
2006,3.25,2.83,3.45,2.89,154341,1639939,1,A
2007,2.51,3.49,3.56,2.94,154341,1639939,1,A
2008,1.04,2.48,2.90,1.93,154341,1639939,1,A
2009,1.03,3.00,3.53,2.77,154341,1639939,1,A
2010,1.21,3.30,3.47,2.86,154341,1639939,1,A
2011,2.11,3.36,3.35,2.71,154341,1639939,1,A
2012,1.67,2.90,3.44,2.53,154341,1639939,1,A
2000,1.66,3.42,2.87,3.00,154342,1639940,1,A
2001,3.13,3.45,2.79,1.76,154342,1639940,1,A
2002,1.39,3.45,3.44,2.90,154342,1639940,1,A
2003,2.48,3.49,3.62,2.59,154342,1639940,1,A
2004,2.20,3.38,3.07,2.61,154342,1639940,1,A
2005,1.81,3.09,3.37,2.67,154342,1639940,1,A
2006,3.33,2.91,3.39,2.98,154342,1639940,1,A
2007,2.59,3.30,3.56,2.96,154342,1639940,1,A
2008,1.05,2.59,2.88,2.15,154342,1639940,1,A
2009,1.06,3.29,3.64,2.87,154342,1639940,1,A
2010,1.30,3.48,3.51,2.89,154342,1639940,1,A
2011,2.03,3.50,3.44,2.48,154342,1639940,1,A
2012,1.68,3.00,3.56,2.54,154342,1639940,1,A
2000,1.67,3.38,2.84,2.99,154343,1639940,1,A
2001,3.14,3.44,2.82,1.75,154343,1639940,1,A
2002,1.46,3.32,3.59,3.22,154343,1639940,1,A
2003,2.31,3.49,3.68,2.71,154343,1639940,1,A
2004,2.36,3.43,3.12,2.65,154343,1639940,1,A
2005,1.81,3.14,3.42,2.74,154343,1639940,1,A
2006,3.28,2.94,3.49,2.95,154343,1639940,1,A
2007,2.70,3.60,3.67,3.06,154343,1639940,1,A
2008,1.01,2.84,2.89,2.11,154343,1639940,1,A
2009,1.51,3.52,3.62,2.86,154343,1639940,1,A
2010,1.27,3.56,3.56,2.84,154343,1639940,1,A
2011,2.14,3.53,3.48,2.59,154343,1639940,1,A
2012,1.63,3.16,3.59,3.20,154343,1639940,1,A
2000,1.71,3.62,2.65,2.98,154344,1639941,1,A
2001,3.31,3.59,2.80,1.73,154344,1639941,1,A
2002,1.45,3.50,3.47,3.02,154344,1639941,1,A
2003,2.69,3.55,3.56,2.65,154344,1639941,1,A
2004,2.15,3.43,3.14,2.60,154344,1639941,1,A
2005,1.87,3.19,3.36,2.74,154344,1639941,1,A
2006,3.55,2.99,3.41,2.99,154344,1639941,1,A
2007,2.53,3.57,3.59,3.06,154344,1639941,1,A
2008,1.02,2.75,2.85,2.11,154344,1639941,1,A
2009,1.54,3.28,3.60,2.88,154344,1639941,1,A
2010,1.31,3.59,3.48,2.85,154344,1639941,1,A
2011,2.12,3.51,3.35,2.65,154344,1639941,1,A
2012,1.68,3.17,3.50,3.29,154344,1639941,1,A
2000,1.78,3.68,2.81,2.92,154345,1639941,1,A
2001,3.09,3.72,2.85,1.75,154345,1639941,1,A
2002,1.42,3.74,3.49,3.10,154345,1639941,1,A
2003,2.84,3.45,3.57,2.66,154345,1639941,1,A
2004,2.08,3.36,3.02,2.60,154345,1639941,1,A
2005,1.78,3.11,3.52,2.69,154345,1639941,1,A
2006,3.46,3.15,3.42,2.97,154345,1639941,1,A
2007,2.56,3.72,3.57,3.00,154345,1639941,1,A
2008,1.00,2.91,2.89,2.09,154345,1639941,1,A
2009,1.47,3.33,3.65,2.82,154345,1639941,1,A
2010,1.34,3.75,3.51,2.82,154345,1639941,1,A
2011,2.12,3.57,3.43,2.65,154345,1639941,1,A
2012,1.63,3.11,3.54,3.06,154345,1639941,1,A
2000,1.74,3.73,2.99,2.85,154346,1639942,1,A
2001,3.11,3.96,2.83,1.82,154346,1639942,1,A
2002,1.39,3.87,3.57,3.11,154346,1639942,1,A
2003,2.81,3.65,3.69,2.65,154346,1639942,1,A
2004,2.26,3.41,3.14,2.47,154346,1639942,1,A
2005,1.81,3.28,3.59,2.67,154346,1639942,1,A
2006,3.28,3.17,3.42,3.00,154346,1639942,1,A
2007,2.42,3.64,3.68,2.98,154346,1639942,1,A
2008,0.94,3.09,2.86,2.20,154346,1639942,1,A
2009,1.66,3.56,3.60,2.98,154346,1639942,1,A
2010,1.38,3.38,3.61,2.81,154346,1639942,1,A
2011,1.97,3.55,3.37,2.59,154346,1639942,1,A
2012,1.63,3.32,3.60,2.87,154346,1639942,1,A
2000,1.68,3.89,2.86,2.91,154347,1639942,1,A
2001,3.14,3.93,2.84,1.87,154347,1639942,1,A
2002,1.32,3.85,3.54,3.09,154347,1639942,1,A
2003,2.59,3.70,3.60,2.62,154347,1639942,1,A
2004,2.22,3.49,3.09,2.47,154347,1639942,1,A
2005,1.83,3.42,3.49,2.64,154347,1639942,1,A
2006,3.26,3.21,3.40,3.04,154347,1639942,1,A
2007,2.68,3.78,3.57,3.03,154347,1639942,1,A
2008,1.01,3.23,2.92,2.39,154347,1639942,1,A
2009,1.61,3.74,3.50,2.94,154347,1639942,1,A
2010,1.35,3.50,3.48,2.78,154347,1639942,1,A
2011,1.66,3.64,3.31,2.59,154347,1639942,1,A
2012,1.71,3.35,3.58,2.83,154347,1639942,1,A
2000,1.95,3.75,2.73,2.91,154348,1639943,1,A
2001,3.11,3.72,2.65,1.83,154348,1639943,1,A
2002,1.42,3.55,3.31,2.96,154348,1639943,1,A
2003,2.65,3.65,3.43,2.56,154348,1639943,1,A
2004,2.40,3.36,2.92,2.45,154348,1639943,1,A
2005,1.94,3.55,3.39,2.66,154348,1639943,1,A
2006,3.31,3.03,3.32,3.01,154348,1639943,1,A
2007,2.72,3.60,3.47,3.00,154348,1639943,1,A
2008,1.05,3.10,2.72,2.48,154348,1639943,1,A
2009,1.64,3.54,3.55,2.89,154348,1639943,1,A
2010,1.43,3.30,3.37,2.81,154348,1639943,1,A
2011,1.70,3.55,3.22,2.62,154348,1639943,1,A
2012,1.78,3.25,3.41,2.77,154348,1639943,1,A
2000,1.94,3.50,2.65,2.75,154349,1639943,1,A
2001,3.12,3.60,2.49,1.68,154349,1639943,1,A
2002,1.44,3.44,3.12,2.73,154349,1639943,1,A
2003,2.58,3.48,3.36,2.55,154349,1639943,1,A
2004,2.38,3.25,2.78,2.38,154349,1639943,1,A
2005,1.90,3.40,3.24,2.60,154349,1639943,1,A
2006,3.36,2.91,3.04,2.92,154349,1639943,1,A
2007,2.59,3.43,3.29,2.97,154349,1639943,1,A
2008,1.22,3.14,2.64,2.27,154349,1639943,1,A
2009,1.72,3.42,3.48,2.89,154349,1639943,1,A
2010,1.57,3.39,3.35,2.79,154349,1639943,1,A
2011,1.78,3.36,3.07,2.66,154349,1639943,1,A
2012,1.72,3.22,3.33,2.74,154349,1639943,1,A
2000,1.57,3.25,2.77,2.81,153661,1639939,1,A
2001,3.06,3.31,2.70,1.75,153661,1639939,1,A
2002,1.34,3.37,3.30,2.66,153661,1639939,1,A
2003,2.57,3.43,3.43,2.65,153661,1639939,1,A
2004,2.64,3.38,3.03,2.52,153661,1639939,1,A
2005,1.76,2.95,3.30,2.63,153661,1639939,1,A
2006,3.30,2.86,3.28,2.82,153661,1639939,1,A
2007,2.56,3.39,3.52,2.91,153661,1639939,1,A
2008,1.12,2.45,2.83,2.18,153661,1639939,1,A
2009,1.48,3.06,3.52,2.72,153661,1639939,1,A
2010,1.25,3.37,3.47,2.81,153661,1639939,1,A
2011,2.17,3.39,3.35,2.75,153661,1639939,1,A
2012,1.63,2.70,3.41,2.66,153661,1639939,1,A
2000,1.69,3.56,2.96,2.79,153662,1639939,1,A
2001,3.12,3.45,2.84,1.76,153662,1639939,1,A
2002,1.36,3.76,3.62,2.89,153662,1639939,1,A
2003,2.76,3.49,3.65,2.72,153662,1639939,1,A
2004,2.71,3.46,3.15,2.61,153662,1639939,1,A
2005,1.87,3.14,3.53,2.70,153662,1639939,1,A
2006,3.28,2.91,3.43,2.87,153662,1639939,1,A
2007,2.63,3.59,3.67,2.98,153662,1639939,1,A
2008,1.08,2.69,2.96,2.19,153662,1639939,1,A
2009,1.48,3.12,3.70,2.90,153662,1639939,1,A
2010,1.28,3.61,3.60,2.82,153662,1639939,1,A
2011,2.20,3.42,3.47,2.71,153662,1639939,1,A
2012,1.77,2.96,3.67,2.87,153662,1639939,1,A
2000,1.79,3.70,3.02,2.97,153663,1639940,1,A
2001,3.26,3.69,2.95,1.75,153663,1639940,1,A
2002,1.41,3.89,3.65,2.97,153663,1639940,1,A
2003,3.00,3.68,3.79,2.75,153663,1639940,1,A
2004,2.63,3.42,3.28,2.68,153663,1639940,1,A
2005,1.96,3.37,3.54,2.74,153663,1639940,1,A
2006,3.26,3.00,3.49,2.95,153663,1639940,1,A
2007,2.78,3.40,3.78,3.04,153663,1639940,1,A
2008,1.03,2.95,3.01,2.21,153663,1639940,1,A
2009,1.50,3.31,3.86,3.02,153663,1639940,1,A
2010,1.28,3.68,3.75,2.90,153663,1639940,1,A
2011,2.19,3.66,3.67,2.69,153663,1639940,1,A
2012,1.71,3.22,3.69,2.92,153663,1639940,1,A
2000,1.73,3.79,2.94,2.99,153664,1639940,1,A
2001,3.25,3.70,2.92,1.86,153664,1639940,1,A
2002,1.39,3.89,3.60,3.25,153664,1639940,1,A
2003,3.12,3.75,3.72,2.71,153664,1639940,1,A
2004,2.74,3.44,3.25,2.71,153664,1639940,1,A
2005,2.03,3.52,3.48,2.61,153664,1639940,1,A
2006,3.30,3.01,3.58,3.01,153664,1639940,1,A
2007,2.83,3.69,3.82,3.03,153664,1639940,1,A
2008,1.06,2.88,3.03,2.34,153664,1639940,1,A
2009,1.57,3.66,3.80,3.02,153664,1639940,1,A
2010,1.55,3.84,3.72,2.90,153664,1639940,1,A
2011,2.33,3.63,3.60,2.60,153664,1639940,1,A
2012,1.71,3.32,3.79,2.98,153664,1639940,1,A
2000,1.82,3.82,2.91,3.02,153665,1639941,1,A
2001,3.27,3.77,2.85,1.84,153665,1639941,1,A
2002,1.60,3.97,3.67,3.30,153665,1639941,1,A
2003,3.11,3.74,3.74,2.72,153665,1639941,1,A
2004,2.78,3.62,3.23,2.76,153665,1639941,1,A
2005,1.98,3.53,3.48,2.76,153665,1639941,1,A
2006,3.38,3.06,3.51,3.10,153665,1639941,1,A
2007,2.95,3.71,3.80,3.07,153665,1639941,1,A
2008,1.15,3.17,2.97,2.62,153665,1639941,1,A
2009,1.65,3.65,3.87,3.07,153665,1639941,1,A
2010,1.85,3.97,3.70,2.90,153665,1639941,1,A
2011,2.25,3.71,3.59,2.62,153665,1639941,1,A
2012,1.66,3.34,3.75,2.97,153665,1639941,1,A
2000,1.80,3.85,2.88,2.98,153666,1639941,1,A
2001,3.16,3.88,2.90,1.81,153666,1639941,1,A
2002,1.62,3.92,3.68,3.19,153666,1639941,1,A
2003,3.22,3.68,3.75,2.74,153666,1639941,1,A
2004,2.57,3.53,3.26,2.75,153666,1639941,1,A
2005,1.97,3.59,3.49,2.72,153666,1639941,1,A
2006,3.33,3.17,3.51,3.01,153666,1639941,1,A
2007,3.00,3.77,3.78,3.00,153666,1639941,1,A
2008,1.13,3.28,3.01,2.63,153666,1639941,1,A
2009,1.71,3.68,3.73,3.05,153666,1639941,1,A
2010,1.71,3.99,3.66,2.79,153666,1639941,1,A
2011,2.10,3.72,3.54,2.67,153666,1639941,1,A
2012,1.84,3.43,3.61,2.97,153666,1639941,1,A
2000,1.81,3.94,2.89,2.93,153667,1639942,1,A
2001,3.14,3.95,2.94,1.78,153667,1639942,1,A
2002,1.56,4.00,3.63,3.19,153667,1639942,1,A
2003,3.13,3.71,3.70,2.73,153667,1639942,1,A
2004,2.32,3.59,3.27,2.57,153667,1639942,1,A
2005,1.88,3.66,3.56,2.70,153667,1639942,1,A
2006,3.24,3.10,3.50,2.97,153667,1639942,1,A
2007,2.68,3.81,3.79,2.94,153667,1639942,1,A
2008,1.05,3.54,3.04,2.62,153667,1639942,1,A
2009,1.79,3.79,3.62,2.98,153667,1639942,1,A
2010,1.73,4.14,3.65,2.78,153667,1639942,1,A
2011,2.16,3.64,3.51,2.67,153667,1639942,1,A
2012,1.78,3.47,3.63,2.92,153667,1639942,1,A
2000,1.81,3.88,2.78,2.84,153668,1639942,1,A
2001,3.11,3.85,2.89,1.82,153668,1639942,1,A
2002,1.52,3.84,3.43,3.06,153668,1639942,1,A
2003,3.14,3.70,3.60,2.66,153668,1639942,1,A
2004,2.49,3.46,3.08,2.63,153668,1639942,1,A
2005,1.49,3.55,3.40,2.67,153668,1639942,1,A
2006,3.26,3.04,3.38,2.88,153668,1639942,1,A
2007,2.75,3.82,3.61,2.94,153668,1639942,1,A
2008,1.09,3.43,2.79,2.55,153668,1639942,1,A
2009,1.85,3.73,3.42,2.90,153668,1639942,1,A
2010,1.66,3.63,3.46,2.75,153668,1639942,1,A
2011,1.89,3.66,3.25,2.62,153668,1639942,1,A
2012,1.81,3.38,3.45,2.84,153668,1639942,1,A
2000,1.99,3.61,2.45,2.79,153669,1639943,1,A
2001,3.07,3.62,2.59,1.79,153669,1639943,1,A
2002,1.62,3.71,3.23,2.87,153669,1639943,1,A
2003,3.16,3.61,3.30,2.51,153669,1639943,1,A
2004,2.44,3.33,2.82,2.49,153669,1639943,1,A
2005,1.52,3.38,3.08,2.58,153669,1639943,1,A
2006,3.32,2.96,3.09,2.86,153669,1639943,1,A
2007,2.67,3.50,3.30,2.87,153669,1639943,1,A
2008,1.28,3.24,2.48,2.48,153669,1639943,1,A
2009,1.86,3.45,3.23,2.90,153669,1639943,1,A
2010,1.78,3.45,3.20,2.63,153669,1639943,1,A
2011,1.82,3.50,3.04,2.52,153669,1639943,1,A
2012,1.90,3.30,3.25,2.75,153669,1639943,1,A
2000,1.95,3.53,2.53,2.80,153670,1639943,1,A
2001,3.01,3.41,2.48,1.73,153670,1639943,1,A
2002,1.39,3.52,3.14,2.57,153670,1639943,1,A
2003,2.87,3.50,3.32,2.43,153670,1639943,1,A
2004,2.50,3.33,2.82,2.52,153670,1639943,1,A
2005,1.76,3.31,3.19,2.50,153670,1639943,1,A
2006,3.21,2.87,3.03,2.83,153670,1639943,1,A
2007,2.55,3.42,3.23,2.90,153670,1639943,1,A
2008,1.19,3.15,2.52,2.37,153670,1639943,1,A
2009,1.78,3.39,3.31,2.82,153670,1639943,1,A
2010,1.73,3.43,3.17,2.73,153670,1639943,1,A
2011,1.82,3.48,2.96,2.60,153670,1639943,1,A
2012,1.67,3.20,3.27,2.78,153670,1639943,1,A
2000,1.80,3.29,2.54,2.62,153671,1639944,1,A
2001,2.94,3.32,2.47,1.63,153671,1639944,1,A
2002,1.47,3.33,3.22,2.56,153671,1639944,1,A
2003,2.59,3.22,3.22,2.35,153671,1639944,1,A
2004,2.75,3.14,2.76,2.55,153671,1639944,1,A
2005,1.96,3.10,3.09,2.47,153671,1639944,1,A
2006,3.12,2.80,3.05,2.79,153671,1639944,1,A
2007,2.66,3.33,3.27,2.82,153671,1639944,1,A
2008,1.40,2.81,2.48,2.14,153671,1639944,1,A
2009,1.76,3.11,3.31,2.74,153671,1639944,1,A
2010,1.80,3.34,3.22,2.70,153671,1639944,1,A
2011,1.89,3.23,2.98,2.63,153671,1639944,1,A
2012,1.78,3.04,3.22,2.63,153671,1639944,1,A
2000,1.55,3.30,2.74,2.65,152982,1637537,1,A
2001,2.95,3.29,2.63,1.80,152982,1637537,1,A
2002,1.36,3.26,3.19,2.67,152982,1637537,1,A
2003,2.65,3.31,3.27,2.46,152982,1637537,1,A
2004,2.60,3.25,2.82,2.52,152982,1637537,1,A
2005,1.78,2.97,3.26,2.58,152982,1637537,1,A
2006,3.22,2.84,3.16,2.77,152982,1637537,1,A
2007,2.60,3.44,3.46,2.88,152982,1637537,1,A
2008,1.11,2.49,2.81,2.13,152982,1637537,1,A
2009,1.51,2.87,3.64,2.82,152982,1637537,1,A
2010,1.29,3.34,3.47,2.77,152982,1637537,1,A
2011,2.15,3.31,3.15,2.58,152982,1637537,1,A
2012,1.65,2.58,3.25,2.63,152982,1637537,1,A
2000,1.69,3.75,2.91,2.83,152983,1637537,1,A
2001,3.24,3.68,2.78,1.85,152983,1637537,1,A
2002,1.38,3.65,3.32,2.85,152983,1637537,1,A
2003,3.32,3.70,3.55,2.63,152983,1637537,1,A
2004,3.02,3.58,3.18,2.54,152983,1637537,1,A
2005,1.93,3.32,3.39,2.61,152983,1637537,1,A
2006,3.29,2.91,3.33,2.87,152983,1637537,1,A
2007,2.70,3.62,3.61,2.95,152983,1637537,1,A
2008,1.17,2.86,3.00,2.26,152983,1637537,1,A
2009,1.51,3.46,3.64,3.06,152983,1637537,1,A
2010,1.43,3.66,3.55,2.78,152983,1637537,1,A
2011,2.14,3.62,3.45,2.57,152983,1637537,1,A
2012,1.67,3.08,3.64,2.76,152983,1637537,1,A
2000,1.89,3.80,2.90,3.09,152984,1637538,1,A
2001,3.53,3.95,2.91,1.97,152984,1637538,1,A
2002,1.48,4.15,3.73,3.23,152984,1637538,1,A
2003,3.45,3.80,3.74,2.78,152984,1637538,1,A
2004,2.87,3.60,3.22,2.83,152984,1637538,1,A
2005,1.94,3.53,3.44,2.70,152984,1637538,1,A
2006,3.55,3.32,3.54,3.06,152984,1637538,1,A
2007,3.16,3.81,3.79,3.04,152984,1637538,1,A
2008,1.16,3.23,3.07,2.39,152984,1637538,1,A
2009,1.68,3.65,3.89,3.15,152984,1637538,1,A
2010,1.80,4.03,3.76,2.95,152984,1637538,1,A
2011,2.20,3.62,3.75,2.68,152984,1637538,1,A
2012,1.79,3.38,3.77,2.99,152984,1637538,1,A
2000,2.21,4.03,2.91,3.05,152985,1637538,1,A
2001,3.59,3.99,2.94,1.93,152985,1637538,1,A
2002,1.65,4.13,3.74,3.19,152985,1637538,1,A
2003,3.53,3.93,3.75,2.81,152985,1637538,1,A
2004,2.85,3.58,3.31,2.88,152985,1637538,1,A
2005,2.08,3.58,3.50,2.65,152985,1637538,1,A
2006,3.46,3.17,3.51,3.02,152985,1637538,1,A
2007,3.25,3.81,3.84,3.05,152985,1637538,1,A
2008,1.24,3.67,3.09,2.70,152985,1637538,1,A
2009,1.90,3.80,3.83,3.07,152985,1637538,1,A
2010,1.99,4.04,3.79,2.93,152985,1637538,1,A
2011,2.27,3.73,3.68,2.69,152985,1637538,1,A
2012,1.88,3.85,3.83,2.98,152985,1637538,1,A
2000,2.14,3.97,2.95,3.01,152986,1637539,1,A
2001,3.28,3.91,2.96,1.94,152986,1637539,1,A
2002,1.66,4.20,3.72,2.82,152986,1637539,1,A
2003,3.38,3.82,3.78,2.75,152986,1637539,1,A
2004,2.63,3.56,3.45,2.92,152986,1637539,1,A
2005,2.19,3.51,3.50,2.76,152986,1637539,1,A
2006,3.37,3.13,3.61,2.90,152986,1637539,1,A
2007,2.99,3.78,3.84,3.01,152986,1637539,1,A
2008,1.30,3.78,3.07,2.70,152986,1637539,1,A
2009,1.99,3.87,3.83,3.10,152986,1637539,1,A
2010,1.89,4.09,3.78,2.97,152986,1637539,1,A
2011,2.40,3.56,3.78,2.67,152986,1637539,1,A
2012,1.76,3.71,3.79,2.96,152986,1637539,1,A
2000,2.15,3.96,2.91,2.92,152987,1637539,1,A
2001,3.17,3.85,2.95,1.81,152987,1637539,1,A
2002,1.58,4.12,3.80,2.89,152987,1637539,1,A
2003,3.29,3.74,3.80,2.61,152987,1637539,1,A
2004,2.60,3.61,3.38,2.78,152987,1637539,1,A
2005,1.93,3.61,3.56,2.67,152987,1637539,1,A
2006,3.12,3.14,3.55,2.80,152987,1637539,1,A
2007,2.86,3.82,3.82,3.00,152987,1637539,1,A
2008,1.38,3.65,3.04,2.58,152987,1637539,1,A
2009,1.97,3.75,3.86,2.88,152987,1637539,1,A
2010,1.92,4.06,3.82,2.86,152987,1637539,1,A
2011,2.32,3.52,3.72,2.75,152987,1637539,1,A
2012,1.82,3.65,3.75,2.92,152987,1637539,1,A
2000,2.19,3.91,2.82,2.88,152988,1637540,1,A
2001,3.17,3.87,2.90,1.74,152988,1637540,1,A
2002,1.88,4.09,3.56,2.90,152988,1637540,1,A
2003,3.43,3.68,3.73,2.71,152988,1637540,1,A
2004,2.55,3.52,3.40,2.78,152988,1637540,1,A
2005,2.04,3.62,3.59,2.64,152988,1637540,1,A
2006,3.20,3.09,3.54,2.85,152988,1637540,1,A
2007,2.93,3.72,3.70,2.94,152988,1637540,1,A
2008,1.57,3.65,2.94,2.52,152988,1637540,1,A
2009,2.10,3.76,3.67,2.84,152988,1637540,1,A
2010,2.25,4.02,3.72,2.81,152988,1637540,1,A
2011,2.31,3.46,3.55,2.69,152988,1637540,1,A
2012,1.93,3.66,3.65,2.87,152988,1637540,1,A
2000,2.13,3.78,2.65,2.77,152989,1637540,1,A
2001,3.09,3.72,2.75,1.76,152989,1637540,1,A
2002,1.58,3.78,3.43,2.63,152989,1637540,1,A
2003,3.33,3.53,3.57,2.45,152989,1637540,1,A
2004,2.81,3.34,3.01,2.65,152989,1637540,1,A
2005,2.04,3.55,3.24,2.55,152989,1637540,1,A
2006,3.21,2.98,3.37,2.72,152989,1637540,1,A
2007,2.81,3.59,3.44,2.84,152989,1637540,1,A
2008,1.50,3.49,2.80,2.48,152989,1637540,1,A
2009,2.02,3.58,3.41,2.74,152989,1637540,1,A
2010,2.33,3.57,3.41,2.75,152989,1637540,1,A
2011,2.18,3.40,3.26,2.40,152989,1637540,1,A
2012,1.95,3.41,3.40,2.86,152989,1637540,1,A
2000,2.09,3.55,2.45,2.71,152990,1637541,1,A
2001,3.01,3.56,2.51,1.77,152990,1637541,1,A
2002,1.66,3.63,3.11,2.58,152990,1637541,1,A
2003,3.20,3.57,3.24,2.47,152990,1637541,1,A
2004,2.47,3.22,2.77,2.62,152990,1637541,1,A
2005,1.95,3.31,3.03,2.50,152990,1637541,1,A
2006,3.14,2.84,3.02,2.71,152990,1637541,1,A
2007,2.86,3.42,3.24,2.72,152990,1637541,1,A
2008,1.47,3.31,2.56,2.36,152990,1637541,1,A
2009,2.02,3.36,3.27,2.77,152990,1637541,1,A
2010,2.24,3.45,3.10,2.63,152990,1637541,1,A
2011,1.94,3.26,3.03,2.48,152990,1637541,1,A
2012,2.05,3.28,3.19,2.74,152990,1637541,1,A
2000,2.28,3.47,2.39,2.72,152991,1637541,1,A
2001,2.99,3.56,2.45,1.77,152991,1637541,1,A
2002,1.87,3.54,3.20,2.45,152991,1637541,1,A
2003,2.90,3.42,3.26,2.50,152991,1637541,1,A
2004,2.51,3.33,2.80,2.51,152991,1637541,1,A
2005,1.89,3.27,3.12,2.48,152991,1637541,1,A
2006,3.19,2.78,3.04,2.71,152991,1637541,1,A
2007,2.75,3.36,3.23,2.75,152991,1637541,1,A
2008,1.53,3.24,2.48,2.25,152991,1637541,1,A
2009,1.92,3.38,3.21,2.72,152991,1637541,1,A
2010,2.03,3.36,3.16,2.64,152991,1637541,1,A
2011,2.10,3.28,2.90,2.59,152991,1637541,1,A
2012,2.20,3.23,3.24,2.72,152991,1637541,1,A
2000,2.27,3.32,2.31,2.43,152992,1637542,1,A
2001,2.89,3.33,2.39,1.63,152992,1637542,1,A
2002,1.98,3.30,3.13,2.46,152992,1637542,1,A
2003,2.77,3.45,3.22,2.34,152992,1637542,1,A
2004,2.65,3.14,2.72,2.54,152992,1637542,1,A
2005,1.89,3.16,3.02,2.40,152992,1637542,1,A
2006,3.13,2.71,2.93,2.62,152992,1637542,1,A
2007,2.71,3.11,3.15,2.65,152992,1637542,1,A
2008,1.55,3.24,2.48,2.20,152992,1637542,1,A
2009,1.94,3.21,3.23,2.63,152992,1637542,1,A
2010,2.27,3.22,3.04,2.66,152992,1637542,1,A
2011,2.00,3.20,2.84,2.57,152992,1637542,1,A
2012,2.02,3.21,3.20,2.67,152992,1637542,1,A
2000,1.55,3.32,2.75,2.68,152303,1637537,1,A
2001,3.01,3.31,2.48,1.70,152303,1637537,1,A
2002,1.44,3.24,3.15,2.86,152303,1637537,1,A
2003,2.26,3.39,3.37,2.34,152303,1637537,1,A
2004,2.41,3.26,2.82,2.39,152303,1637537,1,A
2005,1.70,2.95,3.08,2.55,152303,1637537,1,A
