ano,ndvi_i_invierno,ndvi_i_primavera,ndvi_i_verano,ndvi_i_otono,iv_malla_modi_id,nie_malla_modi_id,poblacion,grupo_poblacion
2000,1.55,3.16,2.69,2.86,155022,1642342,1,A
2001,3.10,3.18,2.64,1.52,155022,1642342,1,A
2002,1.32,3.12,3.37,2.93,155022,1642342,1,A
2003,2.32,3.12,3.44,2.67,155022,1642342,1,A
2004,1.92,3.23,2.92,2.49,155022,1642342,1,A
2005,1.69,3.10,3.26,2.61,155022,1642342,1,A
2006,3.08,2.81,3.12,2.87,155022,1642342,1,A
2007,2.29,3.48,3.39,2.87,155022,1642342,1,A
2008,0.97,2.34,2.72,1.96,155022,1642342,1,A
2009,1.44,3.09,3.41,2.66,155022,1642342,1,A
2010,1.10,3.41,3.35,2.82,155022,1642342,1,A
2011,1.98,3.31,3.24,2.41,155022,1642342,1,A
2012,1.84,2.81,3.38,3.03,155022,1642342,1,A
2000,1.51,3.25,2.70,2.77,155023,1642343,1,A
2001,3.08,3.30,2.56,1.47,155023,1642343,1,A
2002,1.31,3.21,3.22,2.90,155023,1642343,1,A
2003,2.25,3.32,3.40,2.57,155023,1642343,1,A
2004,1.70,3.16,2.83,2.41,155023,1642343,1,A
2005,1.60,3.09,3.20,2.53,155023,1642343,1,A
2006,3.28,2.74,3.04,2.83,155023,1642343,1,A
2007,2.14,3.27,3.34,2.85,155023,1642343,1,A
2008,0.95,2.48,2.68,1.89,155023,1642343,1,A
2009,1.43,2.98,3.44,2.79,155023,1642343,1,A
2010,1.15,3.27,3.21,2.75,155023,1642343,1,A
2011,2.01,3.19,3.19,2.41,155023,1642343,1,A
2012,1.86,2.82,3.34,2.91,155023,1642343,1,A
2000,1.62,3.30,2.77,2.77,155024,1642343,1,A
2001,2.94,3.53,2.61,1.63,155024,1642343,1,A
2002,1.35,3.16,3.25,2.95,155024,1642343,1,A
2003,2.33,3.44,3.28,2.51,155024,1642343,1,A
2004,1.90,3.15,2.91,2.38,155024,1642343,1,A
2005,1.61,2.96,3.23,2.56,155024,1642343,1,A
2006,3.18,2.85,3.10,2.80,155024,1642343,1,A
2007,2.13,3.34,3.33,2.92,155024,1642343,1,A
2008,0.96,2.54,2.70,2.06,155024,1642343,1,A
2009,1.34,3.08,3.50,2.80,155024,1642343,1,A
2010,1.18,3.32,3.38,2.68,155024,1642343,1,A
2011,1.94,3.22,3.11,2.41,155024,1642343,1,A
2012,1.55,2.94,3.31,2.95,155024,1642343,1,A
2000,1.70,3.61,2.84,2.83,155025,1642344,1,A
2001,3.00,3.68,2.80,1.79,155025,1642344,1,A
2002,0.82,3.60,3.44,3.05,155025,1642344,1,A
2003,2.43,3.73,3.65,2.60,155025,1642344,1,A
